ns	type	id	name	description	code	category	usage
language.org.ai	Preposition	About	about	concerning; on the subject of		Location/Topic	about the meeting
language.org.ai	Preposition	Above	above	in or to a higher position than		Location/Position	above the desk
language.org.ai	Preposition	Across	across	from one side to the other of		Location/Movement	across the street
language.org.ai	Preposition	After	after	following in time or order		Time	after the meeting
language.org.ai	Preposition	Against	against	in opposition to		Position/Opposition	against the wall
language.org.ai	Preposition	Along	along	moving in a constant direction on		Location/Movement	along the path
language.org.ai	Preposition	Among	among	surrounded by; in the company of		Location/Group	among friends
language.org.ai	Preposition	Around	around	on every side of		Location/Position	around the building
language.org.ai	Preposition	At	at	expressing location or arrival		Location/Time	at the office
language.org.ai	Preposition	Before	before	earlier than; in front of		Time/Position	before noon
language.org.ai	Preposition	Behind	behind	at or to the back of		Location/Position	behind the desk
language.org.ai	Preposition	Below	below	at a lower level than		Location/Position	below the surface
language.org.ai	Preposition	Beneath	beneath	in or to a position under		Location/Position	beneath the table
language.org.ai	Preposition	Beside	beside	at the side of; next to		Location/Position	beside the window
language.org.ai	Preposition	Between	between	in the space separating two things		Location/Position	between meetings
language.org.ai	Preposition	Beyond	beyond	at or to the further side of		Location/Abstract	beyond expectations
language.org.ai	Preposition	By	by	indicating the agent; near		Agent/Location	by the manager
language.org.ai	Preposition	Concerning	concerning	about; regarding		Topic	concerning the issue
language.org.ai	Preposition	Despite	despite	without being affected by		Concession	despite challenges
language.org.ai	Preposition	Down	down	moving to a lower position		Movement/Direction	down the stairs
language.org.ai	Preposition	During	during	throughout the course of		Time	during the meeting
language.org.ai	Preposition	Except	except	not including; other than		Exclusion	except Monday
language.org.ai	Preposition	For	for	indicating purpose or recipient		Purpose/Recipient	for the customer
language.org.ai	Preposition	From	from	indicating origin or source		Origin/Source	from headquarters
language.org.ai	Preposition	In	in	expressing location or position within		Location/Time	in the office
language.org.ai	Preposition	Inside	inside	situated within		Location/Position	inside the building
language.org.ai	Preposition	Into	into	expressing movement to a location		Movement/Direction	into the office
language.org.ai	Preposition	Near	near	at or to a short distance from		Location/Position	near the entrance
language.org.ai	Preposition	Of	of	expressing relationship or belonging		Relationship/Possession	of the company
language.org.ai	Preposition	Off	off	moving away from		Movement/Separation	off the desk
language.org.ai	Preposition	On	on	physically touching and supported by		Location/Contact	on the desk
language.org.ai	Preposition	Onto	onto	moving to a location on a surface		Movement/Direction	onto the platform
language.org.ai	Preposition	Out	out	moving away from the inside		Movement/Direction	out of the office
language.org.ai	Preposition	Outside	outside	situated on the exterior of		Location/Position	outside the building
language.org.ai	Preposition	Over	over	extending above		Location/Position	over the budget
language.org.ai	Preposition	Past	past	moving beyond		Movement/Time	past the deadline
language.org.ai	Preposition	Regarding	regarding	concerning; about		Topic	regarding the project
language.org.ai	Preposition	Round	round	on all sides of; around		Location/Position	round the table
language.org.ai	Preposition	Through	through	moving in one side and out the other		Movement/Method	through the process
language.org.ai	Preposition	Throughout	throughout	all the way through		Location/Time	throughout the year
language.org.ai	Preposition	To	to	expressing direction or recipient		Direction/Recipient	to the customer
language.org.ai	Preposition	Toward	toward	in the direction of		Direction	toward the goal
language.org.ai	Preposition	Towards	towards	in the direction of		Direction	towards the goal
language.org.ai	Preposition	Under	under	extending below		Location/Position	under budget
language.org.ai	Preposition	Underneath	underneath	situated directly below		Location/Position	underneath the table
language.org.ai	Preposition	Until	until	up to the point in time		Time	until Friday
language.org.ai	Preposition	Unto	unto	to; until		Direction/Time	unto completion
language.org.ai	Preposition	Up	up	toward a higher position		Movement/Direction	up the stairs
language.org.ai	Preposition	Upon	upon	on; on top of		Location/Condition	upon approval
language.org.ai	Preposition	Via	via	by way of; through		Method/Route	via email
language.org.ai	Preposition	With	with	accompanied by; using		Association/Instrument	with the team
language.org.ai	Preposition	Within	within	inside; not beyond		Location/Limits	within the budget
language.org.ai	Preposition	Without	without	in the absence of		Absence/Lack	without approval
